meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
,Timer frame,html.Frame,2_0_1,,,,,,,5214.940000000002,144757,144755.14,144769.06,149984,149984,2024-06-18T07:27:53.520Z,149984.94,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Odakle si pješke ići prema Zadru?,Ideš pješke od Splita prema Zadru.,nf,,,44,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,149984,,,149984,149985,2024-06-18T07:27:53.521Z,149984.94,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Odakle si pješke ići prema Zadru?,Ideš pješke od Splita prema Zadru.,nf,,,44,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,149985,,,149984,149986,2024-06-18T07:27:53.521Z,149984.94,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Odakle si pješke ići prema Zadru?,Ideš pješke od Splita prema Zadru.,nf,,,44,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,149992,,,149984,149993,2024-06-18T07:27:53.527Z,149984.94,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Odakle si pješke ići prema Zadru?,Ideš pješke od Splita prema Zadru.,nf,,,44,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,1081.0599999999977,149993,149982.46,149984.94,151066,151082,2024-06-18T07:27:54.618Z,151101.54,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,mousedown,,Odakle si pješke ići prema Zadru?,Ideš pješke od Splita prema Zadru.,nf,,,44,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,9762.679999999993,141296,141291.54,141303.32,151066,151084,2024-06-18T07:27:54.619Z,151101.54,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Odakle si pješke ići prema Zadru?,Ideš pješke od Splita prema Zadru.,nf,,,44,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,6385.459999999992,151084,151084.9,151101.54,157487,157495,2024-06-18T07:28:01.031Z,157500.42,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,click,,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
,Timer frame,html.Frame,2_1_0,,,,,,,6393.459999999992,151084,151084.9,151101.54,157495,157497,2024-06-18T07:28:01.031Z,157500.42,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,5236.579999999987,157497,157494.58,157500.42,162737,162748,2024-06-18T07:28:06.284Z,162749.84,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,7,click @7,,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
,Timer frame,html.Frame,2_1_1,,,,,,,5247.579999999987,157497,157494.58,157500.42,162748,162748,2024-06-18T07:28:06.284Z,162749.84,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,Tko je jučer susjedu ukrao kobasicu?,Jučer je riđa mačka susjedu ukrala kobasicu.,gf,,,50,KOBASICU; KOBASICA,Što je ukrala mačka?,
