meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
,Timer frame,html.Frame,2_0_0,,,,,,,2389.9000000119267,177787.69999998808,177797.2,177813.9,180203.80000001192,180204.19999998808,2024-07-30T19:05:28.283Z,180242.7,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,7389.399999964226,180204.80000001192,180209.5,180242.7,187632.09999996424,187840,2024-07-30T19:05:35.919Z,187895.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,2,click @2,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,,
,Timer frame,html.Frame,2_0_1,,,,,,,7597.600000011909,180204.39999997616,180209.5,180242.7,187840.30000001192,187841.39999997616,2024-07-30T19:05:35.920Z,187895.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,187841.59999996424,,,187840.30000001192,187841.80000001192,2024-07-30T19:05:35.920Z,187895.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,187842,,,187840.30000001192,187842.09999996424,2024-07-30T19:05:35.921Z,187895.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,187845.19999998808,,,187840.30000001192,187845.5,2024-07-30T19:05:35.924Z,187895.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,913.3000000119209,187845.69999998808,187853.6,187895.5,188808.80000001192,189026.39999997616,2024-07-30T19:05:37.105Z,189063.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,mousedown,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,10994.900000011927,177787.59999996424,177797.2,177813.9,188808.80000001192,189027,2024-07-30T19:05:37.106Z,189063.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Jedna vrlo duboka tamo postoji pećina.,Tamo postoji jedna vrlo duboka pećina.,lbc,,,37,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,1463.800000011921,189027.5,189030.1,189063.5,190527.30000001192,190754.5,2024-07-30T19:05:38.833Z,190773.8,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,click,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Timer frame,html.Frame,2_1_0,,,,,,,1691.3999999761581,189027.19999998808,189030.1,189063.5,190754.89999997616,190755,2024-07-30T19:05:38.834Z,190773.8,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,2874.3999999880907,190755.5,190757.1,190773.8,193648.19999998808,193883.89999997616,2024-07-30T19:05:41.962Z,193936.4,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,7,click @7,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Timer frame,html.Frame,2_1_1,,,,,,,3110.299999964249,190755.09999996424,190757.1,190773.8,193884.09999996424,193884.19999998808,2024-07-30T19:05:41.963Z,193936.4,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Spremanje,canvas.Screen,2_1_2,,,,,,skipped,,193884.30000001192,,,193884.09999996424,193884.5,2024-07-30T19:05:41.963Z,193936.4,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Question form,html.Form,2_1_3,,,,,,skipped,,193884.59999996424,,,193884.09999996424,193884.69999998808,2024-07-30T19:05:41.963Z,193936.4,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Answer indication,canvas.Screen,2_1_4,,,,,,skipped,,193887.30000001192,,,193884.09999996424,193887.5,2024-07-30T19:05:41.966Z,193936.4,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,inter-stimulus,canvas.Screen,2_1_5,,,,,,response,821.4000000119267,193887.80000001192,193894.5,193936.4,194757.80000001192,194994,2024-07-30T19:05:43.072Z,195046.1,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,mousedown,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Sequence,flow.Sequence,2_1,,,,,,completion,5694.300000011921,189027.09999996424,189030.1,189063.5,194757.80000001192,194994.5,2024-07-30T19:05:43.073Z,195046.1,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,context,canvas.Screen,2_2_0_0,,,,,,response,1789.4999999642314,194995.09999996424,195004.1,195046.1,196835.59999996424,197085.69999998808,2024-07-30T19:05:45.164Z,197123.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,click,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,Timer frame,html.Frame,2_2_0,,,,,,,2039.7999999761523,194994.80000001192,195004.1,195046.1,197085.89999997616,197086.09999996424,2024-07-30T19:05:45.165Z,197123.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,stimulus,canvas.Screen,2_2_1_0,,,,,,response,3867.099999964237,197086.59999996424,197090.2,197123.5,200990.59999996424,201214.69999998808,2024-07-30T19:05:49.293Z,201253.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,4,click @4,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,Timer frame,html.Frame,2_2_1,,,,,,,4091.599999964237,197086.30000001192,197090.2,197123.5,201215.09999996424,201215.30000001192,2024-07-30T19:05:49.294Z,201253.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,Spremanje,canvas.Screen,2_2_2,,,,,,skipped,,201215.39999997616,,,201215.09999996424,201215.5,2024-07-30T19:05:49.294Z,201253.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,Question form,html.Form,2_2_3,,,,,,skipped,,201215.59999996424,,,201215.09999996424,201215.89999997616,2024-07-30T19:05:49.294Z,201253.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,Answer indication,canvas.Screen,2_2_4,,,,,,skipped,,201217.89999997616,,,201215.09999996424,201218.09999996424,2024-07-30T19:05:49.297Z,201253.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,inter-stimulus,canvas.Screen,2_2_5,,,,,,response,863.4999999642314,201218.39999997616,201220.2,201253.6,202117.09999996424,202373.80000001192,2024-07-30T19:05:50.452Z,202413.2,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,mousedown,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,Sequence,flow.Sequence,2_2,,,,,,completion,7070.999999964231,194994.80000001192,195004.1,195046.1,202117.09999996424,202374.39999997616,2024-07-30T19:05:50.453Z,202413.2,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,Vjerojatno je tu lijepa nekad bila crkva.,Vjerojatno je tu nekad bila lijepa crkva.,lbc,,,36,,,
,context,canvas.Screen,2_3_0_0,,,,,,response,2473.4999999880674,202375.09999996424,202379.8,202413.2,204886.69999998808,205120.89999997616,2024-07-30T19:05:53.199Z,205158.1,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,click,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
