meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
,Timer frame,html.Frame,2_0_0,,,,,,,2612.9999999880674,153172.90000000596,153243.316,153255.2,155868.19999998808,155869.59999999404,2024-07-31T14:53:10.069Z,155954.688,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,,Čega si gledao prepričavanje?,Gledao si prepričavanje filma.,di,,,31,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,2376.0119999880844,155870.40000000596,155954.688,155954.688,158330.69999998808,158584.90000000596,2024-07-31T14:53:12.785Z,158680.1,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,1,click @1,,Čega si gledao prepričavanje?,Gledao si prepričavanje filma.,di,,,31,,,
,Timer frame,html.Frame,2_0_1,,,,,,,2631.212000005966,155869.90000000596,155954.688,155954.688,158585.90000000596,158587,2024-07-31T14:53:12.787Z,158680.1,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,,Čega si gledao prepričavanje?,Gledao si prepričavanje filma.,di,,,31,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,158587.59999999404,,,158585.90000000596,158588.19999998808,2024-07-31T14:53:12.788Z,158680.1,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,,Čega si gledao prepričavanje?,Gledao si prepričavanje filma.,di,,,31,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,158588.69999998808,,,158585.90000000596,158589.29999998212,2024-07-31T14:53:12.789Z,158680.1,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,,Čega si gledao prepričavanje?,Gledao si prepričavanje filma.,di,,,31,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,158598.40000000596,,,158585.90000000596,158599.29999998212,2024-07-31T14:53:12.799Z,158680.1,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,,Čega si gledao prepričavanje?,Gledao si prepričavanje filma.,di,,,31,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,1643.6999999821128,158600.09999999404,158666.224,158680.1,160323.79999998212,160554.5,2024-07-31T14:53:14.754Z,160650.9,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,mousedown,,Čega si gledao prepričavanje?,Gledao si prepričavanje filma.,di,,,31,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,7068.599999982107,153172.69999998808,153243.316,153255.2,160323.79999998212,160556.29999998212,2024-07-31T14:53:14.756Z,160650.9,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,,Čega si gledao prepričavanje?,Gledao si prepričavanje filma.,di,,,31,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,2104.299999988085,160558.19999998808,160646.688,160650.9,162755.19999998808,162984.90000000596,2024-07-31T14:53:17.185Z,163010.798,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,click,,U sutra ne samo svatko jedan može gledati.,Ne može svatko gledati u sutra.,nf,,,45,,,
,Timer frame,html.Frame,2_1_0,,,,,,,2334.3999999821244,160557.29999998212,160646.688,160650.9,162985.29999998212,162985.59999999404,2024-07-31T14:53:17.185Z,163010.798,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,,U sutra ne samo svatko jedan može gledati.,Ne može svatko gledati u sutra.,nf,,,45,,,
