meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,stimulus,context,island_type,transfer_s,transfer_c,id,movement,opposition,category
,inter-stimulus,canvas.Screen,2_0_2,,,,,,response,605.0999999996275,79786.80000000075,79784.9,79801.5,80406.59999999963,80407,2025-02-01T12:30:41.378Z,80434.7,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,mousedown,Pronašao sam taj uređaj koji mislim da je Marina izgubila.,Mislim da je Marina izgubila laptop.,fac,,,42,ob,ob + ob,non-interrogative component
,Sequence,flow.Sequence,2_0,,,,,,completion,7971.5999999996275,72427.90000000037,72418.392,72435,80406.59999999963,80407,2025-02-01T12:30:41.378Z,80434.7,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,Pronašao sam taj uređaj koji mislim da je Marina izgubila.,Mislim da je Marina izgubila laptop.,fac,,,42,ob,ob + ob,non-interrogative component
,context,canvas.Screen,2_1_0_0,,,,,,response,4488.600000000748,80407.30000000075,80418.164,80434.7,84923.30000000075,84923.80000000075,2025-02-01T12:30:45.895Z,84951.2,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,click,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,Timer frame,html.Frame,2_1_0,,,,,,,4489.100000000748,80407.09999999963,80418.164,80434.7,84923.80000000075,84923.90000000037,2025-02-01T12:30:45.895Z,84951.2,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,2724.999999999258,84924.09999999963,84934.728,84951.2,87676.19999999925,87676.59999999963,2025-02-01T12:30:48.648Z,87701.2,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,2,click @2,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,Timer frame,html.Frame,2_1_1,,,,,,,2725.499999999258,84923.90000000037,84934.728,84951.2,87676.69999999925,87676.69999999925,2025-02-01T12:30:48.648Z,87701.2,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,inter-stimulus,canvas.Screen,2_1_2,,,,,,response,578.4999999992579,87676.80000000075,87684.53,87701.2,88279.69999999925,88280.19999999925,2025-02-01T12:30:49.252Z,88284.5,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,mousedown,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,Sequence,flow.Sequence,2_1,,,,,,completion,7844.999999999258,80407.09999999963,80418.164,80434.7,88279.69999999925,88280.30000000075,2025-02-01T12:30:49.252Z,88284.5,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,context,canvas.Screen,2_2_0_0,,,,,,response,3508.5,88280.5,88268.066,88284.5,91793,91793.5,2025-02-01T12:30:52.765Z,91817.8,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,click,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,Timer frame,html.Frame,2_2_0,,,,,,,3509,88280.40000000037,88268.066,88284.5,91793.5,91793.59999999963,2025-02-01T12:30:52.765Z,91817.8,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,stimulus,canvas.Screen,2_2_1_0,,,,,,response,3666.000000000742,91793.69999999925,91801.2,91817.8,95483.80000000075,95484.30000000075,2025-02-01T12:30:56.456Z,95517.6,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,6,click @6,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,Timer frame,html.Frame,2_2_1,,,,,,,3666.699999999997,91793.69999999925,91801.2,91817.8,95484.5,95484.5,2025-02-01T12:30:56.456Z,95517.6,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,inter-stimulus,canvas.Screen,2_2_2,,,,,,response,316.8999999999942,95484.59999999963,95501,95517.6,95834.5,95835.09999999963,2025-02-01T12:30:56.807Z,95867.6,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,mousedown,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
